0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,9.267624946500599981e-01
2.000000000000000111e-01,8.589009552047178753e-01
3.000000000000000444e-01,7.960197500866187381e-01
4.000000000000000222e-01,7.377525061283464192e-01
5.000000000000000000e-01,6.837604413240856438e-01
6.000000000000000888e-01,6.337283627406278264e-01
7.000000000000000666e-01,5.873655028527196009e-01
8.000000000000000444e-01,5.444019836084290631e-01
9.000000000000000222e-01,5.045879833876639742e-01
