0.000000000000000000e+00,5.000000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+01,0.000000000000000000e+00
1.000000000000000021e-02,4.950246329020259850e+01,5.527143713786475225e-03,5.479601612587759601e-02,7.956276661199355260e+01,4.371804865433372433e-01
2.000000000000000042e-02,4.900988484975106729e+01,5.498782508139969140e-03,1.099255020205912869e-01,7.912527411980350678e+01,8.746325082597707912e-01
2.999999999999999889e-02,4.852222285886653452e+01,5.470409977211626584e-03,1.647714499247378284e-01,7.869242547325077908e+01,1.307469872035410985e+00
4.000000000000000083e-02,4.803940701835328753e+01,5.442005157387541994e-03,2.193331916301374251e-01,7.826413374315862370e+01,1.735736998222298544e+00
5.000000000000000278e-02,4.756139225760038869e+01,5.413596732634011303e-03,2.736107250273729363e-01,7.784035617639035820e+01,2.159482749022788362e+00
5.999999999999999778e-02,4.708813390552494837e+01,5.385186806477657365e-03,3.276041101294175362e-01,7.742105060491523716e+01,2.578755801629772026e+00
7.000000000000000666e-02,4.661958660528075882e+01,5.356776543605478065e-03,3.813134142854873732e-01,7.700617341932311888e+01,2.993604242578981278e+00
8.000000000000000167e-02,4.615570423565635139e+01,5.328366910012868191e-03,4.347386874490595243e-01,7.659567930059442631e+01,3.404075394282526368e+00
8.999999999999999667e-02,4.569644031018236063e+01,5.299959046642446769e-03,4.878799616355405377e-01,7.618952186342112043e+01,3.810215823396200019e+00
1.000000000000000056e-01,4.524174840525139984e+01,5.271554352111216396e-03,5.407372609436601474e-01,7.578765440816661680e+01,4.212071425485421017e+00
1.100000000000000006e-01,4.479155781951656934e+01,5.243133793661554527e-03,5.933089307277179536e-01,7.538998103282655450e+01,4.609675363943188664e+00
1.199999999999999956e-01,4.434586347579450205e+01,5.214747607385777570e-03,6.455976714100328806e-01,7.499653646585275624e+01,5.003091723589463413e+00
1.300000000000000044e-01,4.390460890393242011e+01,5.186365789746824433e-03,6.976028360908950177e-01,7.460725280107141089e+01,5.392359719617529912e+00
1.400000000000000133e-01,4.346774756082908198e+01,5.157992755936489752e-03,7.493243832850340347e-01,7.422208132635023503e+01,5.777522378930304292e+00
1.499999999999999944e-01,4.303521957973695322e+01,5.129617466559498878e-03,8.007610138961831492e-01,7.384094429111053159e+01,6.158613255584903357e+00
1.600000000000000033e-01,4.260700660181039723e+01,5.101274917022841603e-03,8.519150331797904485e-01,7.346385119835143485e+01,6.535690904166745696e+00
1.700000000000000122e-01,4.218303528954400861e+01,5.072924314447017392e-03,9.027837436317859288e-01,7.309069387489157066e+01,6.908777904845267770e+00
1.799999999999999933e-01,4.176330009205555172e+01,5.044618952361134244e-03,9.533708374511074002e-01,7.272150968212029909e+01,7.277941340976802564e+00
1.900000000000000022e-01,4.134774533987535960e+01,5.016326093830302674e-03,1.003675259013941501e+00,7.235622761696724581e+01,7.643214228323553350e+00
2.000000000000000111e-01,4.093631438626526631e+01,4.988039502673277670e-03,1.053695517993916697e+00,7.199477240078580564e+01,8.004626151278088741e+00
2.099999999999999922e-01,4.052898754012350224e+01,4.959793526556243587e-03,1.103434278028253779e+00,7.163715159950066891e+01,8.362235034691853031e+00
2.200000000000000011e-01,4.012570152677600532e+01,4.931552824910545758e-03,1.152889071969183554e+00,7.128327304159302003e+01,8.716062665134771237e+00
2.300000000000000100e-01,3.972644032354243393e+01,4.903358910600756279e-03,1.202063178697595935e+00,7.093315298310129435e+01,9.066170008767166166e+00
