0.000000000000000000e+00,2.490410017752698810e-03,6.709209064760320029e-02,2.847236302933162437e-12,1.880192751412570172e-04,3.504274037642826078e-01,6.553529385172430702e-08
3.344481605351170422e-02,3.300345759744542119e-03,7.479383911654824413e-02,-2.777829642865861283e-09,2.623484784499656029e-04,3.580978963854030694e-01,2.376015644315006251e-07
6.688963210702340845e-02,4.263533718503041692e-03,8.250471693587538291e-02,-4.916213790425646932e-09,3.558109527500875609e-04,3.651554754083715659e-01,3.909568917948054778e-07
1.003344481605351057e-01,5.372218720658231660e-03,9.020574040246796821e-02,-6.468304963623395869e-09,4.702938052739484803e-04,3.716141278176984808e-01,5.266428844220073677e-07
1.337792642140468169e-01,6.618645592840146155e-03,9.787792581320930996e-02,-7.490102919706100035e-09,6.076841432538737610e-04,3.774878405978943086e-01,6.457011507934754321e-07
1.672240802675585281e-01,7.995059161678820178e-03,1.055022894649826348e-01,-8.037607415920743097e-09,7.698690739221890735e-04,3.827906007334697103e-01,7.491732993895773263e-07
2.006688963210702115e-01,9.493704253177494973e-03,1.130598476546713499e-01,-8.166818209514313685e-09,9.587357042705503540e-04,3.875363952089352360e-01,8.381009386906828232e-07
2.341137123745819226e-01,1.110674255131280722e-02,1.205316166791586263e-01,-7.933735057733793813e-09,1.176139217150575390e-03,3.917392110088013246e-01,9.135256771771605309e-07
2.675585284280936338e-01,1.282602253041380085e-02,1.278986128353278573e-01,-7.394357717826168802e-09,1.423814531943547396e-03,3.954130351175784153e-01,9.764891233293796929e-07
3.010033444816053172e-01,1.464331892340347586e-02,1.351418524200623805e-01,-6.604685947038428937e-09,1.703468253457851578e-03,3.985718545197772245e-01,1.028032885627708070e-06
3.344481605351170561e-01,1.655040646320482881e-02,1.422423517302453533e-01,-5.620719502617554577e-09,2.016806986501872706e-03,4.012296561999080802e-01,1.069198572552515330e-06
3.678929765886287395e-01,1.853905988274085273e-02,1.491811270627602104e-01,-4.498458141810533525e-09,2.365537335883995552e-03,4.034004271424816435e-01,1.101027792584170186e-06
