0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000056e-01,9.267624946500601091e-01
2.000000000000000111e-01,8.589009552047176532e-01
3.000000000000000444e-01,7.960197500866185161e-01
4.000000000000000222e-01,7.377525061283463081e-01
5.000000000000000000e-01,6.837604413240855328e-01
6.000000000000000888e-01,6.337283627406277153e-01
7.000000000000000666e-01,5.873655028527196009e-01
8.000000000000000444e-01,5.444019836084290631e-01
9.000000000000000222e-01,5.045879833876639742e-01
1.000000000000000000e+00,4.676922423406950080e-01
1.100000000000000089e+00,4.335009573532477845e-01
1.200000000000000178e+00,4.018127667406444226e-01
1.300000000000000044e+00,3.724482039078466644e-01
1.400000000000000133e+00,3.452350152719600995e-01
